lpermno,datadate,fyear,BE,MKTV.end.of.current.fiscal.year,MKTV.end.of.subsequent.fiscal.year,MKTV.june.of.current.fiscal.year,FF.49
11618,31/12/2012,2012,1611.658,13834.7106,14098.78254,11937.84681,42 Whlsl
11618,31/12/2013,2013,1835.952,14098.78254,14071.48208,13593.2194,42 Whlsl
11618,31/12/2014,2014,1983.749,14071.48208,11820.73724,14686.85036,42 Whlsl
11674,31/12/2010,2010,9429,7664.38244,9215.71695,7681.1801,31 Util
11674,31/12/2011,2011,10190,9215.71695,10332.98365,8470.68692,31 Util
11674,31/12/2012,2012,10620,10332.98365,11737.55283,10092.74496,31 Util
11674,31/12/2013,2013,11289,11737.55283,15286.71267,11656.45651,31 Util
11674,31/12/2014,2014,12144,15286.71267,14392.18044,13784.31379,31 Util
11703,31/12/2010,2010,9121,45535.15272,42297.01182,31339.99278,14 Chems
11703,31/12/2011,2011,9322,42297.01182,41941.14687,50196.61335,14 Chems
11703,31/12/2012,2012,10672,41941.14687,60168.91191,47386.06223,14 Chems
11703,31/12/2013,2013,16883,60168.91191,66985.72118,48324.465,14 Chems
11703,31/12/2014,2014,13816,66985.72118,58368.7062,60096.69312,14 Chems
11850,31/12/2010,2010,181989,368711.7678,406272.3101,290959.6957,30 Oil
11850,31/12/2011,2011,191014,406272.3101,394611.1367,400884.8787,30 Oil
11850,31/12/2012,2012,203433,394611.1367,442093.6168,400139.4391,30 Oil
11850,31/12/2013,2013,214533,442093.6168,391482.2061,401730.0716,30 Oil
11850,31/12/2014,2014,213629,391482.2061,324501.0951,432357.675,30 Oil
11955,31/12/2010,2010,7922,17542.78287,15057.3943,15113.6958,49 Other
11955,31/12/2011,2011,7954,15057.3943,15651.95226,17673.434,49 Other
11955,31/12/2012,2012,8301,15651.95226,21052.37582,15453.2114,49 Other
11955,31/12/2013,2013,7549,21052.37582,23500.50572,18835.15858,49 Other
11955,31/12/2014,2014,7319,23500.50572,23829.43815,20808.03816,49 Other
11976,31/03/2011,2010,1683.2,8433.346,5408.7,6191.844,36 Softw
11976,31/03/2012,2011,1551.8,5408.7,5653.774,9599.85,36 Softw
12052,31/12/2010,2010,13536,26804.71424,23649.46433,22588.29024,24 Aero
12052,31/12/2011,2011,13402,23649.46433,24457.1589,27721.44,24 Aero
12052,31/12/2012,2012,11534,24457.1589,33652.5189,23785.63772,24 Aero
12052,31/12/2013,2013,14638,33652.5189,45605.8918,27665.13771,24 Aero
12052,31/12/2014,2014,11911,45605.8918,43423.34208,39960.44955,24 Aero
12062,31/12/2010,2010,3068.6,8941.464,8519.627,7863.45065,11 Hlth
12062,31/12/2011,2011,3006.2,8519.627,8194.252,9698.358,11 Hlth
12062,31/12/2012,2012,2717.4,8194.252,7985.738,8964.648,11 Hlth
12062,31/12/2013,2013,2491.3,7985.738,9117.55,9305.9967,11 Hlth
12062,31/12/2014,2014,2820.5,9117.55,12512.368,8683.52,11 Hlth
12067,31/12/2010,2010,1331.953,2940.73216,2923.49716,2330.93904,21 Mach
12073,31/12/2010,2010,5219.3,5030.991,4593.875,4963.95,45 Banks
12073,31/12/2011,2011,5225,4593.875,4105.764,4771.2,45 Banks
12073,31/12/2012,2012,5038.8,4105.764,4641.84,4050.729,45 Banks
12073,31/12/2013,2013,4568.4,4641.84,4672.404,4735.22,45 Banks
12073,31/12/2014,2014,4633.1,4672.404,5008.115,4667.809,45 Banks
12140,31/12/2010,2010,3778.1,11041.77625,15490.0851,8293.10875,24 Aero
12345,31/12/2012,2012,12453,32837.31165,44392.59216,23140.10848,14 Chems
12345,31/12/2013,2013,14137,44392.59216,39748.03252,38133.09382,14 Chems
12345,31/12/2014,2014,9937,39748.03252,39056.6836,51490.35675,14 Chems
12369,31/12/2013,2013,38707,56767.36738,56089.75736,45790.79066,23 Autos
12369,31/12/2014,2014,35457,56089.75736,52925.57977,58214.9634,23 Autos
12431,31/12/2010,2010,9639.7,15257.67799,9512.03319,11102.43447,21 Mach
12431,31/12/2011,2011,6924.3,9512.03319,14436.05592,15040.65479,21 Mach
12431,31/12/2012,2012,7147.8,14436.05592,17746.1592,12600.17832,21 Mach
12431,31/12/2013,2013,7068.9,17746.1592,16828.27008,16594.48384,21 Mach
12431,31/12/2014,2014,5987.4,16828.27008,14433.39921,16871.63653,21 Mach
12490,31/12/2010,2010,23424,182328.8879,216724.2778,158344.331,36 Softw
12490,31/12/2011,2011,20687,216724.2778,216438.4746,207781.36,36 Softw
12490,31/12/2012,2012,19308,216438.4746,203673.6456,225598.4007,36 Softw
12490,31/12/2013,2013,24533,203673.6456,158781.0504,211901.6213,36 Softw
12490,31/12/2014,2014,12156,158781.0504,133506.5382,183478.4124,36 Softw
12542,31/12/2013,2013,6593,17359.13153,16805.82141,12622.7861,34 BusSv
12542,31/12/2014,2014,6081,16805.82141,16965.1028,18370.57839,34 BusSv
12558,31/12/2012,2012,17898,26075.62447,37290.6,17269.01784,31 Util
12558,31/12/2013,2013,17744,37290.6,97183.9545,39513.7862,31 Util
12558,31/12/2014,2014,34076,97183.9545,33294.2038,37271.87156,31 Util
12570,31/12/2010,2010,4557,9567.396,1792.8575,8242.82,21 Mach
12650,31/12/2013,2013,4409.1,13647.18047,13467.2308,11674.88472,41 Trans
12650,31/12/2014,2014,4905.7,13467.2308,8149.18512,11861.04075,41 Trans
12872,31/12/2012,2012,13744,21368.529,27613.20671,15305.23224,30 Oil
12872,31/12/2013,2013,13224,27613.20671,25290.22018,23079.36422,30 Oil
12872,31/12/2014,2014,12765,25290.22018,27630.72,22533.50024,30 Oil
13035,31/12/2012,2012,2247,5035.0174,6383.2848,4667.37378,21 Mach
13035,31/12/2013,2013,2432,6383.2848,6923.98125,4991.73954,21 Mach
13035,31/12/2014,2014,2285,6923.98125,6546.859,7182.04424,21 Mach
13103,31/12/2012,2012,2530,12146.4405,18503.08334,8370.2475,23 Autos
13103,31/12/2013,2013,3062,18503.08334,21530.86488,15848.02574,23 Autos
13103,31/12/2014,2014,2677,21530.86488,24011.94424,20873.86336,23 Autos
13141,31/12/2012,2012,6669,2963.9472,4092.48742,3215.25724,30 Oil
13141,31/12/2013,2013,4897,4092.48742,2365.1931,3792.33726,30 Oil
13142,31/03/2014,2013,1812.018,16550.66269,15463.9161,12552.66194,10 Clths
13142,31/03/2015,2014,2251.455,15463.9161,7373.043,18142.48845,10 Clths
13168,31/12/2012,2012,737.991,5452.1152,10719.61011,5787.89128,36 Softw
13168,31/12/2013,2013,877.594,10719.61011,9714.83386,7940.67411,36 Softw
