lpermno,datadate,fyear,BE,MKTV.end.of.current.fiscal.year,MKTV.end.of.subsequent.fiscal.year,MKTV.june.of.current.fiscal.year,FF.49
20482,31/12/2010,2010,22388.135,74060.04456,87594.86908,72207.9707,13 Drugs
20482,31/12/2011,2011,24439.833,87594.86908,103533.754,81786.37146,13 Drugs
20482,31/12/2012,2012,27430.961,103533.754,59265.30938,101436.5178,13 Drugs
20482,31/12/2013,2013,25637,59265.30938,67790.71082,54373.2112,13 Drugs
20482,31/12/2014,2014,22386,67790.71082,66993.1452,61429.3051,13 Drugs
20626,31/12/2010,2010,19134,39626.84424,33988.91312,27394.228,14 Chems
20626,31/12/2011,2011,19372,33988.91312,38770.45102,42320.88,14 Chems
20626,31/12/2012,2012,17714,38770.45102,53851.2504,37654.47,14 Chems
20626,31/12/2013,2013,23616,53851.2504,53754.16721,38912.47813,14 Chems
20626,31/12/2014,2014,19045,53754.16721,59645.5002,61960.82468,14 Chems
21178,31/12/2010,2010,3708,25176.54848,26176.813,27845.9395,26 Guns
21178,31/12/2011,2011,1001,26176.813,29863.84423,28300.87731,26 Guns
21178,31/12/2012,2012,39,29863.84423,47616.83862,28270.69616,26 Guns
21178,31/12/2013,2013,4918,47616.83862,60837.68041,34909.69482,26 Guns
21178,31/12/2014,2014,3400,60837.68041,66729.10618,51316.10637,26 Guns
21186,31/12/2010,2010,4258,4401.5508,5113.69295,3792.7812,39 Paper
21186,31/12/2011,2011,4116,5113.69295,5570.90787,5652.27397,39 Paper
21186,31/12/2012,2012,4386,5570.90787,6569.1084,4955.005,39 Paper
21186,31/12/2013,2013,5292,6569.1084,7400.56763,6035.96916,39 Paper
21186,31/12/2014,2014,4584,7400.56763,11723.06264,7429.7049,39 Paper
21207,31/12/2010,2010,14833,29867.14314,29297.72214,29848.69692,27 Gold
21207,31/12/2011,2011,15043,29297.72214,22826.93184,26621.72793,27 Gold
21207,31/12/2012,2012,14631,22826.93184,11355.14877,23800.41279,27 Gold
21207,31/12/2013,2013,10776,11355.14877,9427.2444,14744.95405,27 Gold
21207,31/12/2014,2014,10930,9427.2444,9518.83282,12682.57776,27 Gold
21371,30/06/2010,2010,5375,13368.6576,14030.99866,12169.23992,42 Whlsl
21371,30/06/2011,2011,5933.6,14030.99866,13992.05804,15923.61612,42 Whlsl
21371,30/06/2012,2012,6401,13992.05804,22814.07837,14535.192,42 Whlsl
21371,30/06/2013,2013,6227,22814.07837,26718.56226,16134.0456,42 Whlsl
21371,30/06/2014,2014,6725,26718.56226,29368.13387,23324.18056,42 Whlsl
21573,31/12/2010,2010,9627,11916.30144,12937.3016,9876.99928,39 Paper
21573,31/12/2011,2011,9117,12937.3016,17495.5368,13038.9441,39 Paper
21573,31/12/2012,2012,9330,17495.5368,21750.83569,12636.09844,39 Paper
21573,31/12/2013,2013,11870,21750.83569,22697.23812,19711.21488,39 Paper
21573,31/12/2014,2014,8178,22697.23812,15629.1759,21862.94789,39 Paper
21776,31/12/2010,2010,20181,27541.23732,28754.87381,25082.18463,31 Util
21776,31/12/2011,2011,22736,28754.87381,25406.37642,28376.65908,31 Util
21776,31/12/2012,2012,32982,25406.37642,23470.60056,32067.6642,31 Util
21776,31/12/2013,2013,35637,23470.60056,31868.9622,26428.61712,31 Util
21776,31/12/2014,2014,35627,31868.9622,25536.29228,31331.83296,31 Util
21792,31/12/2010,2010,6141,6652.45248,8556.99397,5492.73396,31 Util
21792,31/12/2011,2011,8054,8556.99397,8228.2585,8231.70285,31 Util
21792,31/12/2012,2012,8454,8228.2585,9935.8752,8832.27033,31 Util
21792,31/12/2013,2013,8871,9935.8752,10070.12028,10066.1697,31 Util
21792,31/12/2014,2014,9305,10070.12028,7899.61032,10975.76392,31 Util
21936,31/12/2010,2010,106409,140254.242,166345.9659,115023.0708,13 Drugs
21936,31/12/2011,2011,101742,166345.9659,184648.2021,162763.278,13 Drugs
21936,31/12/2012,2012,102814,184648.2021,198515.2047,172227.128,13 Drugs
21936,31/12/2013,2013,101864,198515.2047,196265.4656,198681.1762,13 Drugs
21936,31/12/2014,2014,96253,196265.4656,199280.6768,189090.9832,13 Drugs
22103,30/09/2010,2010,10554,43122.47345,34256.50884,32905.9973,38 LabEq
22103,30/09/2011,2011,11163,34256.50884,38320.69088,42281.49375,38 LabEq
22103,30/09/2012,2012,10887,38320.69088,49485.04088,34171.3209,38 LabEq
22103,30/09/2013,2013,11408,49485.04088,42732.46904,39206.78802,38 LabEq
22103,30/09/2014,2014,10691,42732.46904,31154.83578,46567.73184,38 LabEq
22111,31/12/2010,2010,58026,169855.8099,179089.0774,162891.6142,13 Drugs
22111,31/12/2011,2011,58880,179089.0774,194265.4662,182340.8324,13 Drugs
22111,31/12/2012,2012,67962,194265.4662,258415.5064,185544.8923,13 Drugs
22111,31/12/2013,2013,78042,258415.5064,292702.9327,241171.0378,13 Drugs
22111,31/12/2014,2014,72906,292702.9327,284220.4877,295980.442,13 Drugs
22293,31/12/2010,2010,19424,30194.82228,20399.09542,25206.29015,37 Chips
22293,31/12/2011,2011,21138,20399.09542,18650.35342,28493.7939,37 Chips
22293,31/12/2012,2012,21497,18650.35342,25789.13964,19622.46456,37 Chips
22293,31/12/2013,2013,21175,25789.13964,29392.77464,20990.51647,37 Chips
22293,31/12/2014,2014,19655,29392.77464,21624.94752,28721.0482,37 Chips
22509,31/12/2010,2010,3931,13705.00733,12892.69278,10047.81407,14 Chems
22509,31/12/2011,2011,3521,12892.69278,20778.79819,14358.62008,14 Chems
22509,31/12/2012,2012,4294,20778.79819,26936.08218,16192.21408,14 Chems
22509,31/12/2013,2013,5181,26936.08218,31721.86888,20920.67131,14 Chems
22509,31/12/2014,2014,5882,31721.86888,26609.16258,29055.33762,14 Chems
22517,31/12/2010,2010,11010,12720.24544,17013.55658,11693.7656,31 Util
22517,31/12/2011,2011,14439,17013.55658,16654.24278,16062.11233,31 Util
22517,31/12/2012,2012,14195,16654.24278,18964.2225,16130.41182,31 Util
22517,31/12/2013,2013,16736,18964.2225,24162.06576,17924.2084,31 Util
22517,31/12/2014,2014,18237,24162.06576,22928.26096,22445.89985,31 Util
22592,31/12/2010,2010,15861,61692.3317,57280.06185,56325.24132,39 Paper
22592,31/12/2011,2011,15671,57280.06185,64245.79335,67398.22845,39 Paper
22592,31/12/2012,2012,17742,64245.79335,93300.1905,62170.9312,39 Paper
22592,31/12/2013,2013,18040,93300.1905,104514.0992,75472.82325,39 Paper
22592,31/12/2014,2014,13250,104514.0992,92751.00632,93718.78726,39 Paper
22752,31/12/2010,2010,61787,111034.9512,114906.6217,109045.2724,13 Drugs
22752,31/12/2011,2011,60143,114906.6217,124460.5477,108925.5847,13 Drugs
22752,31/12/2012,2012,58760,124460.5477,146242.5465,126985.3388,13 Drugs
22752,31/12/2013,2013,56541,146242.5465,161901.0777,140260.9774,13 Drugs
22752,31/12/2014,2014,52913,161901.0777,147554.9413,169059.4516,13 Drugs
22779,31/12/2010,2010,10885,21308.88567,15069.06144,15153.0342,37 Chips
22779,31/12/2011,2011,5214,15069.06144,15618.24,15631.9612,37 Chips
22779,31/12/2012,2012,3265,15618.24,17463.1275,14051.10282,37 Chips
22779,31/12/2013,2013,3659,17463.1275,15909.09528,15682.81634,37 Chips
22779,31/12/2014,2014,2735,15909.09528,12085.6689,16922.62656,37 Chips
22840,30/06/2010,2010,2035,11193.54766,11176.87648,9323.907,2 Food
22840,30/06/2011,2011,2129,11176.87648,3440.17128,11111.06799,2 Food
23026,31/12/2010,2010,11424,11284.9917,18526.9688,10739.33705,31 Util
23026,31/12/2011,2011,18950,18526.9688,17464.70016,18464.2364,31 Util
23026,31/12/2012,2012,19700,17464.70016,13793.2254,20572.04504,31 Util
23026,31/12/2013,2013,19660,13793.2254,16406.71907,15616.18544,31 Util
23026,31/12/2014,2014,19477,16406.71907,13423.12266,14579.24048,31 Util
23077,30/04/2011,2010,4005.941,15864.14662,17305.4994,13746.5532,2 Food
23077,30/04/2012,2011,3576.346,17305.4994,18495.55344,17143.74576,2 Food
23085,31/12/2010,2010,5149,5165.2538,5842.11912,4448.7228,31 Util
23085,31/12/2011,2011,5462,5842.11912,6015.03252,5056.21036,31 Util
23085,31/12/2012,2012,5843,6015.03252,6595.96457,6257.08928,31 Util
23085,31/12/2013,2013,6399,6595.96457,8610.02,6849.3518,31 Util
23085,31/12/2014,2014,6881,8610.02,8645.04933,7619.01171,31 Util
23114,31/12/2010,2010,11716,12736.94424,16526.1801,11262.88584,31 Util
23229,31/12/2010,2010,3280,4549.1136,5598.62688,3367.99105,31 Util
23229,31/12/2011,2011,4109,5598.62688,6465.67352,4973.02454,31 Util
23229,31/12/2012,2012,4252,6465.67352,7150.02607,6147.5765,31 Util
23229,31/12/2013,2013,5110,7150.02607,9596.17775,7249.66242,31 Util
23229,31/12/2014,2014,5389,9596.17775,10025.9104,8394.6135,31 Util
23473,31/12/2010,2010,5292,5133.78,4934.52,4216.81,46 Insur
23473,31/12/2011,2011,5369,4934.52,6383.08,4756.34,46 Insur
23473,31/12/2012,2012,5906,6383.08,8588.68,6205.41,46 Insur
23473,31/12/2013,2013,6743,8588.68,8484.571,7513.52224,46 Insur
23473,31/12/2014,2014,7413,8484.571,9697.963,7878.56,46 Insur
23501,31/12/2010,2010,6970,4097.125,4607.2068,3499.9328,31 Util
23501,31/12/2011,2011,7221,4607.2068,4499.94592,4431.8651,31 Util
23501,31/12/2012,2012,7642,4499.94592,4777.85141,4467.4396,31 Util
23501,31/12/2013,2013,7260,4777.85141,6783.85551,5011.41312,31 Util
23501,31/12/2014,2014,7604,6783.85551,6596.57817,6898.167,31 Util
23536,31/12/2010,2010,4990.9,6880.55742,8085.12928,5931.55674,31 Util
23536,31/12/2011,2011,5659.4,8085.12928,8478.0795,7327.9371,31 Util
23536,31/12/2012,2012,6252.1,8478.0795,9364.3368,9119.10435,31 Util
23536,31/12/2013,2013,6867,9364.3368,11893.76658,9375.35577,31 Util
23536,31/12/2014,2014,7326.4,11893.76658,16197.74604,10581.35148,31 Util
23579,31/12/2010,2010,3080,6498.65964,5143.32632,4638.17252,24 Aero
23579,31/12/2011,2011,2745,5143.32632,6986.46654,6520.11399,24 Aero
23579,31/12/2012,2012,2991,6986.46654,10335.074,6970.58847,24 Aero
23579,31/12/2013,2013,4660,10335.074,11624.42339,7238.12275,24 Aero
23579,31/12/2014,2014,4409,11624.42339,11496.8767,10688.19402,24 Aero
23660,31/05/2011,2010,2498.97,4062.61596,4516.00573,3664.2939,10 Clths
23660,31/05/2012,2011,2343.716,4516.00573,5042.3974,4333.70115,10 Clths
23660,31/05/2013,2012,2411.975,5042.3974,7141.8615,4884.9372,10 Clths
23660,31/05/2014,2013,2438.902,7141.8615,9203.20832,5570.4528,10 Clths
23660,31/05/2015,2014,2159.393,9203.20832,9845.2365,7396.31016,10 Clths
23712,31/12/2010,2010,14762,16093.76054,16699.92405,15851.47616,31 Util
23712,31/12/2011,2011,15728,16699.92405,15481.0602,16512.7392,31 Util
23712,31/12/2012,2012,17322,15481.0602,16207.78644,16441.5875,31 Util
23712,31/12/2013,2013,18715,16207.78644,20955.28204,16524.94754,31 Util
23712,31/12/2014,2014,19488,20955.28204,19575.66978,20636.80312,31 Util
23819,31/12/2010,2010,10373,37439.4768,31754.89415,22224.50125,30 Oil
23819,31/12/2011,2011,13198,31754.89415,32191.86903,46665.663,30 Oil
23819,31/12/2012,2012,15765,32191.86903,43047.4695,26204.14034,30 Oil
23819,31/12/2013,2013,13581,43047.4695,33330.6018,38884.66708,30 Oil
23819,31/12/2014,2014,16267,33330.6018,29131.87452,59969.3652,30 Oil
23887,31/12/2010,2010,7417.417,9670.20915,5124.9092,2228.21712,32 Telcm
23887,31/12/2011,2011,6913.155,5124.9092,4273.1948,8031.53838,32 Telcm
23887,31/12/2012,2012,6464.806,4273.1948,4647.4983,3824.25883,32 Telcm
23887,31/12/2013,2013,6472.589,4647.4983,6686.46823,4052.11815,32 Telcm
23887,31/12/2014,2014,6596.584,6686.46823,5455.494,5852.44504,32 Telcm
23931,31/12/2010,2010,11566.483,10835.66115,13404.18384,9471.63465,31 Util
23931,31/12/2011,2011,12589.318,13404.18384,13024.3302,11765.4768,31 Util
23931,31/12/2012,2012,13391.747,13024.3302,13904.03366,13834.05063,31 Util
23931,31/12/2013,2013,14976.235,13904.03366,18164.24112,14091.75326,31 Util
23931,31/12/2014,2014,16141.166,18164.24112,18224.21727,16178.4931,31 Util
24010,31/12/2010,2010,17362.376,12814.20945,12865.2738,13557.88086,31 Util
24010,31/12/2011,2011,17342.469,12865.2738,11330.47875,12151.65504,31 Util
24010,31/12/2012,2012,17782.541,11330.47875,11282.24313,12027.32451,31 Util
24010,31/12/2013,2013,18620.866,11282.24313,15788.47788,12415.9308,31 Util
24010,31/12/2014,2014,19388.407,15788.47788,12194.53532,14725.46838,31 Util
24109,31/12/2010,2010,21255,17280.33048,19949.09472,15467.6302,31 Util
24109,31/12/2011,2011,23062,19949.09472,20710.42732,18153.88488,31 Util
24109,31/12/2012,2012,24648,20710.42732,22775.9346,19324.4478,31 Util
24109,31/12/2013,2013,26535,22775.9346,29706.6528,21765.0951,31 Util
24109,31/12/2014,2014,27944,29706.6528,28599.90659,27220.38891,31 Util
24205,31/12/2010,2010,19570,21619.62558,25723.99168,20219.45548,31 Util
24205,31/12/2011,2011,20624,25723.99168,29281.62314,24245.8216,31 Util
24205,31/12/2012,2012,22771,29281.62314,37260.28284,28698.99956,31 Util
24205,31/12/2013,2013,26184,37260.28284,46393.67178,34599.50424,31 Util
24205,31/12/2014,2014,29177,46393.67178,47845.08504,44693.47512,31 Util
24221,31/12/2010,2010,10346.6,6120.02715,7996.04388,6504.21225,31 Util
24328,31/12/2010,2010,4353.584,6687.61696,8187.65323,5376.80078,31 Util
24328,31/12/2011,2011,5212.774,8187.65323,8824.17474,7848.0636,31 Util
24328,31/12/2012,2012,5269.849,8824.17474,13531.28248,8021.70725,31 Util
24328,31/12/2013,2013,5690.553,13531.28248,11469.0042,11940.02595,31 Util
24328,31/12/2014,2014,6333.685,11469.0042,7951.9102,16222.1819,31 Util
24459,31/12/2010,2010,163.755,4917.09972,3701.28852,4557.31488,35 Hardw
24459,31/12/2011,2011,136.272,3701.28852,2136.00128,4686.58047,35 Hardw
24459,31/12/2012,2012,179.179,2136.00128,4706.4369,2997.21855,35 Hardw
24459,31/12/2013,2013,248.455,4706.4369,4898.1263,2957.63832,35 Hardw
24459,31/12/2014,2014,141.53,4898.1263,4069.0825,5596.9168,35 Hardw
24643,31/12/2010,2010,13944,15719.99238,9206.2296,10271.4612,24 Aero
24643,31/12/2011,2011,14184,9206.2296,9263.31336,16836.64294,24 Aero
24643,31/12/2012,2012,13604,9263.31336,11369.86926,9333.65125,24 Aero
24643,31/12/2013,2013,10941,11369.86926,18613.61517,8362.68454,24 Aero
24643,31/12/2014,2014,12578,18613.61517,12930.97323,17469.43937,24 Aero
24766,31/12/2010,2010,13557,18915.04742,15279.71288,16397.16468,37 Chips
24766,31/12/2011,2011,10336,15279.71288,16587.10552,20300.132,37 Chips
24766,31/12/2012,2012,9514,16587.10552,25442.38851,16043.44016,37 Chips
24766,31/12/2013,2013,10620,25442.38851,29772.63261,19471.9932,37 Chips
24766,31/12/2014,2014,7235,29772.63261,34435.73423,25616.97005,37 Chips
24942,31/12/2010,2010,9901,16892.92262,16744.318,18439.73535,37 Chips
24942,31/12/2011,2011,8186,16744.318,18987.14452,17755.573,37 Chips
24942,31/12/2012,2012,8035,18987.14452,28976.1104,18863.59742,37 Chips
24942,31/12/2013,2013,11358,28976.1104,33356.16656,21463.47768,37 Chips
24942,31/12/2014,2014,9525,33356.16656,37495.73394,28861.05825,37 Chips
24985,31/12/2010,2010,10706,6760.77951,8025.4112,5664.05822,31 Util
24985,31/12/2011,2011,11313,8025.4112,7453.7472,6954.73716,31 Util
24985,31/12/2012,2012,9480,7453.7472,8773.6816,8137.9779,31 Util
24985,31/12/2013,2013,9773,8773.6816,11192.75255,8356.3494,31 Util
24985,31/12/2014,2014,10700,11192.75255,10489.11105,9918.9188,31 Util
25081,31/12/2010,2010,5793,7455.02208,5125.9956,6493.93926,45 Banks
25081,31/12/2011,2011,6868,5125.9956,5775.03696,6110.97347,45 Banks
25081,31/12/2012,2012,6942,5775.03696,8695.58894,6039.82783,45 Banks
25081,31/12/2013,2013,7153,8695.58894,8416.53908,7434.03052,45 Banks
25081,31/12/2014,2014,7402,8416.53908,7392.82505,9112.76784,45 Banks
25099,31/12/2010,2010,3811.5,3763.50282,4241.64384,3368.72358,31 Util
25099,31/12/2011,2011,4076.1,4241.64384,4088.19936,4058.5536,31 Util
25099,31/12/2012,2012,4278.9,4088.19936,4342.29887,4452.23856,31 Util
25099,31/12/2013,2013,4709.2,4342.29887,6225.11955,4631.36184,31 Util
25232,31/12/2010,2010,3620.62,5907.11124,8928.11641,4597.25875,31 Util
25232,31/12/2011,2011,3685.164,8928.11641,8747.20575,7927.9512,31 Util
25232,31/12/2012,2012,3722.411,8747.20575,12826.92566,8794.21812,31 Util
25232,31/12/2013,2013,4276.113,12826.92566,10366.17842,8514.28017,31 Util
25232,31/12/2014,2014,1987.337,10366.17842,5160.79548,14151.72152,31 Util
25320,31/07/2010,2010,1184,11590.654,10594.45224,12165.43156,2 Food
25320,31/07/2011,2011,1455,10594.45224,10970.00913,11090.4118,2 Food
25320,31/07/2012,2012,1196,10970.00913,13633.76264,10548.08,2 Food
25320,31/07/2013,2013,1706,13633.76264,13787.092,14025.76455,2 Food
25320,31/07/2014,2014,2163,13787.092,16292.12905,14380.40034,2 Food
25419,31/12/2010,2010,4226,6752.8566,3627.03055,6596.51148,9 Hshld
25419,31/12/2011,2011,4181,3627.03055,7921.6445,6198.617,9 Hshld
25419,31/12/2012,2012,4260,7921.6445,12312.7257,4725.03812,9 Hshld
25419,31/12/2013,2013,4924,12312.7257,15086.72832,9053.42376,9 Hshld
25419,31/12/2014,2014,4885,15086.72832,11484.35278,10823.24124,9 Hshld
25582,30/06/2010,2010,2189.6,5811.0387,4173.57616,5407.62775,37 Chips
25582,30/06/2011,2011,2502,4173.57616,5559.94656,5731.58694,37 Chips
25582,30/06/2012,2012,1938.9,5559.94656,7460.87394,4761.6093,37 Chips
25582,30/06/2013,2013,1561.3,7460.87394,7511.79744,5396.96275,37 Chips
25582,30/06/2014,2014,1826,7511.79744,10811.4897,8067.29925,37 Chips
25778,31/03/2011,2010,5684,12320.00848,9701.54237,9494.1792,36 Softw
25778,31/03/2012,2011,5441,9701.54237,9907.83668,11395.49268,36 Softw
25778,31/03/2013,2012,5570,9907.83668,14912.70415,12546.95022,36 Softw
25778,31/03/2014,2013,5637,14912.70415,13346.6613,12894.94134,36 Softw
25778,31/03/2015,2014,5670,13346.6613,11779.34352,12652.4976,36 Softw
25785,31/12/2010,2010,462,57116.27237,40126.70848,33624.14832,23 Autos
25785,31/12/2011,2011,15724,40126.70848,48456.4395,51399.92207,23 Autos
25785,31/12/2012,2012,16417,48456.4395,59769.41655,35919.48885,23 Autos
25785,31/12/2013,2013,26981,59769.41655,58556.4425,59719.67638,23 Autos
25785,31/12/2014,2014,25375,58556.4425,54919.69202,66951.04004,23 Autos
25953,31/12/2010,2010,4907.859,10917.8755,10761.0768,7804.65861,21 Mach
25953,31/12/2011,2011,5341.718,10761.0768,11762.81281,12650.0562,21 Mach
25953,31/12/2012,2012,5381.474,11762.81281,16447.13364,9843.11766,21 Mach
25953,31/12/2013,2013,5926.679,16447.13364,11859.76264,13287.85898,21 Mach
25953,31/12/2014,2014,4264.932,11859.76264,9500.96546,15142.17455,21 Mach
26403,30/09/2010,2010,40149,71028.33584,67369.2375,61694.64,32 Telcm
26403,30/09/2011,2011,40251,67369.2375,88233.95438,73791.61216,32 Telcm
26403,30/09/2012,2012,42010,88233.95438,134256.192,86687.2025,32 Telcm
26403,30/09/2013,2013,49479,134256.192,159719.0191,113729.4242,32 Telcm
26403,30/09/2014,2014,49056,159719.0191,173715.9442,148488.3046,32 Telcm
26710,31/12/2010,2010,18450,16194.92565,14930.74755,13940.13507,46 Insur
26710,31/12/2011,2011,19494,14930.74755,16039.2815,17207.31798,46 Insur
26710,31/12/2012,2012,20299,16039.2815,18676.64664,16234.56076,46 Insur
26710,31/12/2013,2013,20174,18676.64664,15721.53088,17270.046,46 Insur
26710,31/12/2014,2014,20173,15721.53088,13606.7712,17009.865,46 Insur
26825,31/12/2010,2010,2855,18808.37112,18162.2155,19146.9968,2 Food
26825,31/12/2011,2011,2397,18162.2155,20017.70115,20074.30032,2 Food
26825,31/12/2012,2012,2942,20017.70115,22119.37079,17633.64979,2 Food
26825,31/12/2013,2013,4473,22119.37079,23233.42496,23622.12402,2 Food
26825,31/12/2014,2014,3515,23233.42496,25612.34346,23589.2565,2 Food
27043,30/09/2010,2010,1289.867,8284.77952,7556.62271,6458.61892,12 MedEq
27043,30/09/2011,2011,1258.291,7556.62271,7668.452,8205.6438,12 MedEq
27043,30/09/2012,2012,1523.276,7668.452,8230.40091,6776.09808,12 MedEq
27043,30/09/2013,2013,1725.847,8230.40091,8667.00435,7313.40115,12 MedEq
27043,30/09/2014,2014,1647.92,8667.00435,7756.4768,8642.56928,12 MedEq
27422,31/12/2010,2010,3909.6,10567.15659,8916.7982,6386.97312,28 Mines
27422,31/12/2011,2011,6847.4,8916.7982,5496.07072,13373.4472,28 Mines
27422,31/12/2012,2012,5740.8,5496.07072,4013.38004,7022.78991,28 Mines
27422,31/12/2013,2013,6484.7,4013.38004,1093.8123,2487.81,28 Mines
27633,31/12/2010,2010,2513.169,2723.48832,2716.7825,2131.7877,33 PerSv
27633,31/12/2011,2011,2439.646,2716.7825,2552.02216,2918.84955,33 PerSv
27633,31/12/2012,2012,2644.561,2552.02216,3880.31154,1846.37674,33 PerSv
27633,31/12/2013,2013,3287.595,3880.31154,4924.764,3156.33838,33 PerSv
27633,31/12/2014,2014,3295.444,4924.764,3036.14275,4684.97856,33 PerSv
27828,31/10/2010,2010,45688,92216.9346,51108.69008,101036.9869,35 Hardw
27828,31/10/2011,2011,43788,51108.69008,27761.109,75499.2784,35 Hardw
27828,31/10/2012,2012,25384,27761.109,53407.58046,39653.56163,35 Hardw
27828,31/10/2013,2013,29937,53407.58046,73601.71066,47828.0896,35 Hardw
27828,31/10/2014,2014,27855,73601.71066,21215.48032,63027.13536,35 Hardw
27887,31/12/2010,2010,6567,29497.64074,27900.08968,24360.632,13 Drugs
27887,31/12/2011,2011,6585,27900.08968,36621.53748,34045.86282,13 Drugs
27887,31/12/2012,2012,6938,36621.53748,37744.6459,29568.8332,13 Drugs
27887,31/12/2013,2013,8702,37744.6459,39721.56762,37640.48676,13 Drugs
27887,31/12/2014,2014,8332,39721.56762,20868.7367,39109.6728,13 Drugs
27959,31/12/2010,2010,29859,23590.21769,29320.126,21010.16,31 Util
27959,31/12/2011,2011,30737,29320.126,44930.7672,25068.98156,31 Util
27959,31/12/2012,2012,51811,44930.7672,48720.57693,30856.7013,31 Util
27959,31/12/2013,2013,53869,48720.57693,59087.09014,47637.3825,31 Util
27959,31/12/2014,2014,54725,59087.09014,49140.16426,52469.91303,31 Util
27983,31/12/2010,2010,12055,15980.50944,11040.94188,11087.4816,35 Hardw
27983,31/12/2011,2011,11925,11040.94188,8678.77054,14586.34626,35 Hardw
27983,31/12/2012,2012,11570,8678.77054,14982.65738,10606.77676,35 Hardw
27983,31/12/2013,2013,12349,14982.65738,15821.96616,11137.08021,35 Hardw
27983,31/12/2014,2014,10683,15821.96616,10761.84389,14521.47324,35 Hardw
27991,31/12/2010,2010,5516.893,4506.1124,5260.34058,3943.13292,31 Util
27991,31/12/2011,2011,5747.238,5260.34058,5592.506,4859.97786,31 Util
27991,31/12/2012,2012,6124.177,5592.506,5823.5814,5664.33998,31 Util
27991,31/12/2013,2013,6698.713,5823.5814,7544.8395,6098.76009,31 Util
27991,31/12/2014,2014,7128.736,7544.8395,7147.608,6383.04888,31 Util
28222,30/09/2010,2010,5882,19504.50035,17934.36918,13762.59793,14 Chems
28222,30/09/2011,2011,6365.9,17934.36918,17537.57862,20253.11526,14 Chems
28222,30/09/2012,2012,7148,17537.57862,23639.7933,17068.90536,14 Chems
28222,30/09/2013,2013,7869.3,23639.7933,30868.39306,19076.86967,14 Chems
28222,30/09/2014,2014,8361.3,30868.39306,28037.4039,27302.8105,14 Chems
28345,31/12/2010,2010,9411.763,14340.95985,10786.91628,9487.98265,30 Oil
28345,31/12/2011,2011,10008.508,10786.91628,11572.8279,12700.35116,30 Oil
28345,31/12/2012,2012,10486.371,11572.8279,12131.45704,9764.70872,30 Oil
28345,31/12/2013,2013,10061.83,12131.45704,8967.0474,11628.40686,30 Oil
28345,31/12/2014,2014,9767.298,8967.0474,3861.96125,11929.63656,30 Oil
28388,31/12/2010,2010,5519.488,15221.97443,14180.36256,13270.11565,48 Fin
28388,31/12/2011,2011,5786.0455,14180.36256,14906.33144,17167.4832,48 Fin
28388,31/12/2012,2012,5585.7595,14906.33144,16607.99192,15590.21516,48 Fin
28388,31/12/2013,2013,5448.622,16607.99192,22098.28685,15487.56475,48 Fin
28388,31/12/2014,2014,5428.875,22098.28685,18846.55836,20002.48276,48 Fin
28484,31/12/2010,2010,19684,25162.9077,19306.32,16528.58526,30 Oil
28484,31/12/2011,2011,21359,19306.32,18088.32912,25399.48572,30 Oil
28484,31/12/2012,2012,23752,18088.32912,28018.725,14842.99795,30 Oil
28484,31/12/2013,2013,27012,28018.725,22069.89158,22825.88402,30 Oil
28484,31/12/2014,2014,24214,22069.89158,13869.98256,31072.02912,30 Oil
29102,31/12/2010,2010,6091.847,6695.27286,4986.2037,5025.41782,30 Oil
29102,31/12/2011,2011,6388.528,4986.2037,4196.0488,7080.6736,30 Oil
29102,31/12/2012,2012,6547.052,4196.0488,5014.87034,4180.4208,30 Oil
29102,31/12/2013,2013,6478.635,5014.87034,3756.91822,4510.61689,30 Oil
29102,31/12/2014,2014,5351.622,3756.91822,2813.1507,8735.93028,30 Oil
29938,30/04/2011,2010,2210,3927.115096,4459.65093,3293.829,4 Beer
29938,30/04/2012,2011,2227,4459.65093,5193.429,4070.52,4 Beer
29938,30/04/2013,2012,1808,5193.429,6230.76174,5348.215,4 Beer
29938,30/04/2014,2013,2134,6230.76174,7416.1588,5716.39042,4 Beer
29938,30/04/2015,2014,2012,7416.1588,9307.37808,7805.31552,4 Beer
29946,30/04/2011,2010,2210,6165.8953,6895.43997,5173.53477,4 Beer
29946,30/04/2012,2011,2227,6895.43997,8160.768,6602.52131,4 Beer
29946,30/04/2013,2012,1808,8160.768,9728.50395,8315.63785,4 Beer
29946,30/04/2014,2013,2134,9728.50395,11328.7248,8734.41765,4 Beer
29946,30/04/2015,2014,2012,11328.7248,11597.79032,12151.32012,4 Beer
30681,31/12/2010,2010,4328.2,13796.7462,12298.46292,10528.5222,34 BusSv
30681,31/12/2011,2011,4371.9,12298.46292,13198.48276,13538.78736,34 BusSv
30681,31/12/2012,2012,4393.8,13198.48276,19139.93757,13249.575,34 BusSv
30681,31/12/2013,2013,4415,19139.93757,19226.5046,16257.17608,34 BusSv
30681,31/12/2014,2014,3504.7,19226.5046,18329.0133,18406.16802,34 BusSv
30940,31/12/2010,2010,2153.345,6656.17182,5518.02056,4754.2272,21 Mach
30940,31/12/2011,2011,2316.85,5518.02056,7337.6512,6134.93892,21 Mach
30940,31/12/2012,2012,1955.724,7337.6512,10994.34127,6272.235,21 Mach
30940,31/12/2013,2013,1980.63,10994.34127,8155.30764,7722.51183,21 Mach
30940,31/12/2014,2014,2050.342,8155.30764,5506.96752,10210.6342,21 Mach
32707,30/09/2010,2010,3578.848,5138.20128,6253.04056,3861.29612,30 Oil
